,Niche Name,Niche City,Maps_ID,Maps_Name,Maps Address,Maps_Rating,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating,ID,County,Type,Sector,Charter,Status,Street Address,Match Score,Matched Name,Matched City
272,Milpitas High School,Milpitas,ChIJE33gZjXPj4AR-EZBuQa4jAA,Milpitas High School,"1285 Escuela Pkwy, Milpitas, CA 95035, USA",3.4,Milpitas High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43733874334470,0.95,0.77,0.61,0.82,0.3,16.0,1320.0,680.0,640.0,31.0,30.0,32.0,31.0,30.0,300,Milpitas Unified,Milpitas,3.54,43733874334470,Santa Clara,High Schools (Public),Public,No,Active,1285 Escuela Pkwy.,78.78787878787878,Milpitas High,Milpitas
273,Murrieta Mesa High School,Murrieta,ChIJXVhUO0KC3IARlivJ1Bmv8VA,Murrieta Mesa High School,"24801 Monroe Ave, Murrieta, CA 92562, USA",4.6,Murrieta Mesa High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33752000118794,0.97,0.65,0.32,0.64,0.25,23.0,1130.0,560.0,570.0,23.0,23.0,24.0,23.0,23.0,301,Murrieta Valley Unified,Murrieta,4.14,33752000118794,Riverside,High Schools (Public),Public,No,Active,24801 Monroe Ave.,83.72093023255813,Murrieta Mesa High,Murrieta
274,John Marshall Senior High School,Los angeles,ChIJIescSrbAwoARP1rXAdK6mt0,John Marshall High School,"3939 Tracy St, Los Angeles, CA 90027, USA",4.2,John Marshall Senior High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331935568,0.92,0.62,0.38,0.54,0.35,20.0,1200.0,600.0,600.0,27.0,26.0,28.0,27.0,27.0,302,Los Angeles Unified,Los Angeles,3.74,19647331935568,Los Angeles,High Schools (Public),Public,No,Active,3939 Tracy St.,87.71929824561404,John Marshall Senior High,Los Angeles
275,Cosumnes Oaks High School,Elk grove,ChIJxeI--HbHmoARBG6mKnMXnSw,Cosumnes Oaks High School,"8350 Lotz Pkwy, Elk Grove, CA 95757, USA",3.2,Cosumnes Oaks High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=34673140116897,0.96,0.63,0.41,0.73,0.39,20.0,1230.0,610.0,610.0,27.0,26.0,27.0,27.0,26.0,303,Elk Grove Unified,Elk Grove,3.93,34673140116897,Sacramento,High Schools (Public),Public,No,Active,8350 Lotz Pkwy.,83.72093023255813,Cosumnes Oaks High,Elk Grove
276,Burroughs High School,Burbank,ChIJ08Nr3WGVwoAREvO0IIGr6QM,John Burroughs High School,"1920 W Clark Ave, Burbank, CA 91506, USA",3.6,Burroughs High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19643371931237,0.95,0.68,0.36,0.79,0.27,19.0,1240.0,620.0,620.0,28.0,26.0,29.0,28.0,27.0,304,Burbank Unified,Burbank,3.86,19643371931237,Los Angeles,High Schools (Public),Public,No,Active,1920 Clark Ave.,80.0,Burroughs High,Burbank
277,Mountain House High School,Mountain house,ChIJ-xdoXSgfkIAR_azWZK9v878,Mountain House High School,"1090 S. Central Parkway, 1090 Central Pkwy, Mountain House, CA 95391, USA",3.8,Mountain House High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=39767600128967,0.98,0.76,0.57,0.61,0.26,17.0,1320.0,670.0,650.0,29.0,29.0,29.0,30.0,28.0,305,Lammersville Joint Unified,Mountain House,3.88,39767600128967,San Joaquin,High Schools (Public),Public,No,Active,1090 South Central Pkwy.,84.44444444444444,Mountain House High,Mountain House
278,Kearny College Connections,San diego,ChIJt8yKy-L_24AR3YxXDyCVRJk,Kearny High School,"1954 Komet Way, San Diego, CA 92111, USA",3.8,Kearny College Connections,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37683380107094,0.92,0.62,0.17,,,,1130.0,560.0,570.0,27.0,25.0,27.0,27.0,26.0,306,San Diego Unified,San Diego,4.09,37683380107094,San Diego,High Schools (Public),Public,No,Active,1954 Komet Way,100.0,Kearny College Connections,San Diego
279,Da Vinci Charter Academy,Davis,ChIJjVtj17TfhIAR12GDrOQ7fBM,Da Vinci Charter Academy,"1400 E 8th St, Davis, CA 95616, USA",3.8,Da Vinci Charter Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=57726780119578,0.95,0.72,0.49,0.72,0.15,4.0,1290.0,640.0,650.0,30.0,29.0,31.0,30.0,28.0,307,Davis Joint Unified,Davis,4.1,57726780119578,Yolo,High Schools (Public),Public,Yes,Active,1400 East Eighth St.,100.0,Da Vinci Charter Academy,Davis
280,San Marcos High School,San marcos,ChIJmchxjzB13IARw9ZU7EbAWCs,San Marcos High School,"1615 W San Marcos Blvd, San Marcos, CA 92078, USA",4.1,San Marcos High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37737913737632,0.96,0.59,0.33,0.77,0.41,17.0,1240.0,620.0,620.0,28.0,27.0,29.0,29.0,28.0,308,San Marcos Unified,San Marcos,3.99,37737913737632,San Diego,High Schools (Public),Public,No,Active,1615 San Marcos Blvd.,81.08108108108108,San Marcos High,San Marcos
281,Branham High School,San jose,ChIJZ0JjL_QzjoARbDWXiM-xBA0,Branham High School,"1570 Branham Ln, San Jose, CA 95118, USA",3.5,Branham High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43694014330866,0.93,0.76,0.48,0.66,0.32,21.0,1320.0,650.0,660.0,30.0,29.0,31.0,31.0,29.0,309,Campbell Union High,San Jose,3.65,43694014330866,Santa Clara,High Schools (Public),Public,No,Active,1570 Branham Ln.,77.41935483870968,Branham High,San Jose
